Model,Classification,Number of Minima
N1112,U,1
N1113,Sas,2
N1121,U,1
N1123,U,1
N1131,Sa,2
N1132,U,1
N1211,U+,1
N1213,U+,1
N1221,Smls,3
N1222,Ul,2
N1223,U+,1
N1231,Ns,5
N1232,Sa+,4
N1233,Sml,3
N1311,Sa+,2
N1312,Sa+,1
N1321,Sm+,5
N1322,Sml,4
N1323,S',3
N1331,Sm,8
N1332,Sm,7
N1333,Sa+,6
N2111,U+,1
N2112,Smls,3
N2113,Sml,5
N2122,Ul,2
N2123,Sa+,4
N2131,U+,1
N2132,U+,1
N2133,Sml,3
N2212,S',2
N2213,Sml,4
N2221,S',2
N2223,S',2
N2231,Sml,4
N2232,S',2
N2311,Sml,1
N2312,Sml,1
N2313,Sm',3
N2321,Sam,4
N2322,Sm',2
N2331,Sm,7
N2332,Sm,5
N2333,Sm',3
N3111,Sa+,2
N3112,Sm+,5
N3113,Sm,8
N3121,Sa+,1
N3122,Sml,4
N3123,Sm,7
N3132,Sm',3
N3133,Sam+,6
N3211,Sml,1
N3212,Sam,4
N3213,Sm,7
N3221,Sml,1
N3222,Sm',2
N3223,Sm,5
N3231,Sm',3
N3233,Sm',3
N3312,Sm,3
N3313,Sam,6
N3321,Sm,3
N3323,Sm',3
N3331,Sam,6
N3332,Sm',3